average_length_of_stay_minutes,probability_ER_full,number_of_reoperations,number_of_hard_surgeries,number_of_deaths,average_queue_lengths.ER,average_queue_lengths.Preoperative,average_queue_lengths.Lab_Preoperative,average_queue_lengths.Lab_ER,average_queue_lengths.OR_Regular,average_queue_lengths.OR_Urgent,average_queue_lengths.ICU,average_queue_lengths.CCU,average_queue_lengths.General_Ward,average_waiting_times_minutes.ER,average_waiting_times_minutes.Preoperative,average_waiting_times_minutes.Lab_Preoperative,average_waiting_times_minutes.Lab_ER,average_waiting_times_minutes.OR_Regular,average_waiting_times_minutes.OR_Urgent,average_waiting_times_minutes.ICU,average_waiting_times_minutes.CCU,average_waiting_times_minutes.General_Ward,maximum_queue_lengths.ER,maximum_queue_lengths.Preoperative,maximum_queue_lengths.Lab_Preoperative,maximum_queue_lengths.Lab_ER,maximum_queue_lengths.OR_Regular,maximum_queue_lengths.OR_Urgent,maximum_queue_lengths.ICU,maximum_queue_lengths.CCU,maximum_queue_lengths.General_Ward,bed_utilization_percent.Preoperative,bed_utilization_percent.ER,bed_utilization_percent.Lab,bed_utilization_percent.OR,bed_utilization_percent.General_Ward,bed_utilization_percent.ICU,bed_utilization_percent.CCU
1303.6872311773743,0.7864493996569468,1,2,0,7.129502572898799,258.795025728988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,635,0,0,0,0,0,0,0,98.21889423224152,95.788584675643,0.8037269902924549,0.11761539131044481,2.2246330840170154,0.0033907173456952868,0.10178393617840895
1753.5670305532774,0.7908163265306123,0,3,1,7.270408163265306,253.17857142857142,0.0017006802721088435,0.0,0.0,0.0,0.0,0.004251700680272109,0.0,0,0,3.1471113176949075,0.0,0,0,0,23.885012284499016,0,10,631,1,0,0,0,0,1,0,97.74523618059688,98.3697995900978,0.8080389138193493,0.11121427675578564,3.038991042778823,0.028151597421046143,0.027227959507660996
1547.377921416884,0.7888249794576828,0,2,0,8.04847986852917,261.1996713229252,0.0016433853738701725,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.978177298452465,0.0,0,0,0,0.0,0,10,648,1,0,0,0,0,0,0,98.01992716694276,96.35238136338995,0.8091258835398016,0.10765488172468131,2.712631678270128,0.004120852454709057,0.06628070583699891
1481.8745011991991,0.7839662447257384,0,2,0,8.075949367088608,254.60506329113923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,620,0,0,0,0,0,0,0,98.11275211040645,98.18101325071221,0.7998136564411322,0.10817398019952713,2.5871033900277625,0.023105321144555584,0.03610460967008124
1558.0386917405935,0.8147497805092186,0,2,0,8.470588235294118,250.76997366110623,0.003511852502194908,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.112326990072233,0.0,0,0,0,0.0,0,10,620,1,0,0,0,0,0,0,97.69235248794644,98.70102752235312,0.8099691981320255,0.10415620683925741,2.7387302495301484,0.020407028670629164,0.03861487674597933
1714.46488402093,0.7540849673202614,0,1,0,8.080065359477125,275.6151960784314,0.0008169934640522876,0.0,0.0,0.0,0.0,0.0024509803921568627,0.0,0,0,1.9677449697089742,0.0,0,0,0,18.452696222455188,0,10,671,1,0,0,0,0,1,0,98.03352896355855,97.37238808245564,0.8092693484345443,0.09110891792394409,3.0691275638593347,0.005339142513090001,0.0763360889895265
1696.4467679577908,0.7590673575129534,0,1,0,7.789291882556132,253.40241796200345,0.0,0.0008635578583765112,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.1078353965278893,0,0,0,0.0,0,10,626,0,1,0,0,0,0,0,97.6698995702382,96.62843869998467,0.7990068085637819,0.09005889480108638,3.0486835895016164,0.02048681507270521,0.02977780807361638
1616.996985294255,0.8176614881439084,0,0,0,8.398201144726084,265.3311529026983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,643,0,0,0,0,0,0,0,98.31667469577677,98.9099964100332,0.8176456540757748,0.08514901053032052,2.8917812840275654,0.002610511064335907,0.03091768269138913
2248.0721336536167,0.8110720562390158,1,1,0,7.3875219683655535,265.37961335676624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,634,0,0,0,0,0,0,0,97.54451904472725,97.94653747194116,0.8105428886381055,0.07929099436016196,4.196610175033802,4.30651774565747e-06,0.014711816539271868
1931.6366675888978,0.8025423728813559,0,1,0,8.16864406779661,254.76949152542372,0.0,0.006779661016949152,0.0,0.0,0.0,0.000847457627118644,0.0,0,0,0.0,9.80905301403267,0,0,0,6.232359692284945,0,10,642,0,2,0,0,0,1,0,98.66904408695092,99.11556477841611,0.811061527154948,0.08264894611237082,3.5240651553628615,0.0,0.06833998778991117
